"","forecast","time","Model"
"1",14.1,1,"Model with Current Monash Setpoints"
"2",14.2902405111111,2,"Model with Current Monash Setpoints"
"3",14.4784140666667,3,"Model with Current Monash Setpoints"
"4",14.6621864666667,4,"Model with Current Monash Setpoints"
"5",14.8495887777778,5,"Model with Current Monash Setpoints"
"6",15.0399693555556,6,"Model with Current Monash Setpoints"
"7",15.2405205111111,7,"Model with Current Monash Setpoints"
"8",15.4142157111111,8,"Model with Current Monash Setpoints"
"9",15.6101966,9,"Model with Current Monash Setpoints"
"10",15.7835609555556,10,"Model with Current Monash Setpoints"
"11",15.9590451333333,11,"Model with Current Monash Setpoints"
"12",16.1255791111111,12,"Model with Current Monash Setpoints"
"13",16.3024174888889,13,"Model with Current Monash Setpoints"
"14",16.4938022,14,"Model with Current Monash Setpoints"
"15",16.6866712222222,15,"Model with Current Monash Setpoints"
"16",16.8724673555556,16,"Model with Current Monash Setpoints"
"17",17.0520593777778,17,"Model with Current Monash Setpoints"
"18",17.2373476222222,18,"Model with Current Monash Setpoints"
"19",17.4116147555556,19,"Model with Current Monash Setpoints"
"20",17.5867652666667,20,"Model with Current Monash Setpoints"
"21",17.7484578,21,"Model with Current Monash Setpoints"
"22",17.899674,22,"Model with Current Monash Setpoints"
"23",18.0505463555556,23,"Model with Current Monash Setpoints"
"24",18.1954467777778,24,"Model with Current Monash Setpoints"
"25",18.3171595111111,25,"Model with Current Monash Setpoints"
"26",18.4367650666667,26,"Model with Current Monash Setpoints"
"27",18.5499725777778,27,"Model with Current Monash Setpoints"
"28",18.6607686,28,"Model with Current Monash Setpoints"
"29",18.7796539111111,29,"Model with Current Monash Setpoints"
"30",18.886591,30,"Model with Current Monash Setpoints"
"31",18.9785124222222,31,"Model with Current Monash Setpoints"
"32",19.0592370444444,32,"Model with Current Monash Setpoints"
"33",19.1428229555556,33,"Model with Current Monash Setpoints"
"34",19.2034256888889,34,"Model with Current Monash Setpoints"
"35",19.2697002444444,35,"Model with Current Monash Setpoints"
"36",19.3280937333333,36,"Model with Current Monash Setpoints"
"37",19.3818119333333,37,"Model with Current Monash Setpoints"
"38",19.4348758888889,38,"Model with Current Monash Setpoints"
"39",19.4893997777778,39,"Model with Current Monash Setpoints"
"40",19.5413218666667,40,"Model with Current Monash Setpoints"
"41",19.5923067555556,41,"Model with Current Monash Setpoints"
"42",19.6429559555555,42,"Model with Current Monash Setpoints"
"43",19.6917721777778,43,"Model with Current Monash Setpoints"
"44",19.7395520444444,44,"Model with Current Monash Setpoints"
"45",19.7854205555555,45,"Model with Current Monash Setpoints"
"46",19.8322944,46,"Model with Current Monash Setpoints"
"47",19.8801474444444,47,"Model with Current Monash Setpoints"
"48",19.9244599111111,48,"Model with Current Monash Setpoints"
"49",19.9684828,49,"Model with Current Monash Setpoints"
"50",20.0127012666667,50,"Model with Current Monash Setpoints"
"51",20.0569197333333,51,"Model with Current Monash Setpoints"
