"","forecast","time","Model"
"1",12.5,1,"Model with Current Monash Setpoints"
"2",12.7681911555556,2,"Model with Current Monash Setpoints"
"3",13.0532512444444,3,"Model with Current Monash Setpoints"
"4",13.3269334666667,4,"Model with Current Monash Setpoints"
"5",13.5612019777778,5,"Model with Current Monash Setpoints"
"6",13.7764702,6,"Model with Current Monash Setpoints"
"7",14.0046077555556,7,"Model with Current Monash Setpoints"
"8",14.2294932888889,8,"Model with Current Monash Setpoints"
"9",14.4450419333333,9,"Model with Current Monash Setpoints"
"10",14.6513154666667,10,"Model with Current Monash Setpoints"
"11",14.8632468349206,11,"Model with Current Monash Setpoints"
"12",15.0509606793651,12,"Model with Current Monash Setpoints"
"13",15.2485972571429,13,"Model with Current Monash Setpoints"
"14",15.4195949460317,14,"Model with Current Monash Setpoints"
"15",15.6026666571429,15,"Model with Current Monash Setpoints"
"16",15.7616357460317,16,"Model with Current Monash Setpoints"
"17",15.9260925904762,17,"Model with Current Monash Setpoints"
"18",16.0660170349206,18,"Model with Current Monash Setpoints"
"19",16.2004103238095,19,"Model with Current Monash Setpoints"
"20",16.3389811015873,20,"Model with Current Monash Setpoints"
"21",16.4649705460317,21,"Model with Current Monash Setpoints"
"22",16.5883292793651,22,"Model with Current Monash Setpoints"
"23",16.7028252793651,23,"Model with Current Monash Setpoints"
"24",16.7935244793651,24,"Model with Current Monash Setpoints"
"25",16.892534568254,25,"Model with Current Monash Setpoints"
"26",16.9932683904762,26,"Model with Current Monash Setpoints"
"27",17.0968195904762,27,"Model with Current Monash Setpoints"
"28",17.1796172793651,28,"Model with Current Monash Setpoints"
"29",17.2530657238095,29,"Model with Current Monash Setpoints"
"30",17.3176681460317,30,"Model with Current Monash Setpoints"
"31",17.3766512793651,31,"Model with Current Monash Setpoints"
"32",17.4490469015873,32,"Model with Current Monash Setpoints"
"33",17.515815368254,33,"Model with Current Monash Setpoints"
"34",17.5961219904762,34,"Model with Current Monash Setpoints"
"35",17.6764554349206,35,"Model with Current Monash Setpoints"
"36",17.7398084349206,36,"Model with Current Monash Setpoints"
"37",17.8041056571428,37,"Model with Current Monash Setpoints"
